No.,English,中文,拼音,中文+拼音
3984,footpath,小道,xiǎodào,小道 xiǎodào
3985,hamper,食物篮,shíwùlán,食物篮 shíwùlán
3986,swings,秋千,qiūqiān,秋千 qiūqiān
3987,sandpit,沙箱,shāxiāng,沙箱 shāxiāng
3988,cycling,骑自行车,qízìxíngchē,骑自行车 qízìxíngchē
3989,paddling pool,儿童戏水池,értóng xìshuǐchí,儿童戏水池 értóng xìshuǐchí
3990,horse riding,骑马,qímǎ,骑马 qímǎ
3991,bridle path,骑马专用道,qímǎ zhuānyòngdào,骑马专用道 qímǎ zhuānyòngdào
3992,picnic,野餐,yěcān,野餐 yěcān
3993,bird watching,观鸟,guānniǎo,观鸟 guānniǎo
3994,rollerblading,滚轴溜冰,gǔnzhóu liūbīng,滚轴溜冰 gǔnzhóu liūbīng
3995,hiking,远足,yuǎnzú,远足 yuǎnzú
3996,bikini,比基尼泳装,bǐjīníyǒngzhuāng,比基尼泳装 bǐjīníyǒngzhuāng
3997,beach hut,海滩小屋,hǎitān xiǎowū,海滩小屋 hǎitān xiǎowū
3998,hotel,旅馆,lǚguǎn,旅馆 lǚguǎn
3999,beach umbrella,遮阳伞,zhēyángsǎn,遮阳伞 zhēyángsǎn
4000,beach bag,海滨游泳袋,hǎibīn yóuyǒngdài,海滨游泳袋 hǎibīn yóuyǒngdài
4001,sea,海,hǎi,海 hǎi
4002,rubber ring,游泳圈,yóuyǒngquān,游泳圈 yóuyǒngquān
4003,sandcastle,沙堡,shābǎo,沙堡 shābǎo
4004,suntan lotion,防晒油,fángshàiyóu,防晒油 fángshàiyóu
4005,swimsuit,游泳衣,yóuyǒngyī,游泳衣 yóuyǒngyī
4006,promenade,海滨步道,hǎibīn bùdào,海滨步道 hǎibīn bùdào
4007,beach ball,浮水气球,fúshuǐqìqiú,浮水气球 fúshuǐqìqiú
4008,lifeguard tower,救生暸望塔,jiùshēng liáowàngtǎ,救生暸望塔 jiùshēng liáowàngtǎ
4009,windbreak,防风屏,fángfēngpíng,防风屏 fángfēngpíng
4010,beach towel,海滩浴巾,hǎitān yùjīn,海滩浴巾 hǎitān yùjīn
4011,deck chair,轻便折叠躺椅,qīngbiàn zhédiétǎngyǐ,轻便折叠躺椅 qīngbiàn zhédiétǎngyǐ
4012,waste disposal,垃圾箱,lājīxiāng,垃圾箱 lājīxiāng
4013,charcoal,木炭,mùtàn,木炭 mùtàn
4014,ﬁrelighter,引火物,yǐnhuǒwù,引火物 yǐnhuǒwù
4015,light a ﬁre (v),点火,diǎnhuǒ,点火 diǎnhuǒ
4016,campﬁre,营火,yínghuǒ,营火 yínghuǒ
4017,camp (v),露营,lùyíng,露营 lùyíng
4018,site manager’s ofﬁce,营地管理处,yíngdì guǎnlǐchù,营地管理处 yíngdì guǎnlǐchù
4019,pitches available,自由宿营地,zìyóu sùyíngdì,自由宿营地 zìyóu sùyíngdì
4020,shower block,浴室,yùshì,浴室 yùshì
4021,flysheet,防雨罩,fángyǔzhào,防雨罩 fángyǔzhào
4022,tent peg,地钉,dìdìng,地钉 dìdìng
4023,electric hook-up,接电装置,jiēdiàn zhuāngzhì,接电装置 jiēdiàn zhuāngzhì
4024,pitch a tent (v),支帐篷,zhīzhàngpéng,支帐篷 zhīzhàngpéng
4025,tent pole,帐篷杆,zhàngpénggǎn,帐篷杆 zhàngpénggǎn
4026,camp bed,行军床,xíngjūn chuáng,行军床 xíngjūn chuáng
4027,guy rope,防风绳,fángfēng shéng,防风绳 fángfēng shéng
4028,picnic bench,野餐长椅,yěcān chángyǐ,野餐长椅 yěcān chángyǐ
4029,hammock,吊床,diàochuáng,吊床 diàochuáng
4030,camper van,野营车,yěyíngchē,野营车 yěyíngchē
4031,trailer,拖车,tuōchē,拖车 tuōchē
4032,caravan,旅行拖车,lǚxíng tuōchē,旅行拖车 lǚxíng tuōchē
4033,sleeping mat,睡垫,shuìdiàn,睡垫 shuìdiàn
4034,walking boots,徒步靴,túbùxuē,徒步靴 túbùxuē
4035,vacuum flask,保温瓶,bǎowēnpíng,保温瓶 bǎowēnpíng
4036,ground sheet,铺地防潮布,pūdì fángcháobù,铺地防潮布 pūdì fángcháobù
4037,mosquito net,蚊帐,wénzhàng,蚊帐 wénzhàng
4038,torch,营地灯,yíngdìdēng,营地灯 yíngdìdēng
4039,barbecue,烧烤架,shāokǎojià,烧烤架 shāokǎojià
4040,thermals,保暖内衣,bǎonuǎn nèiyī,保暖内衣 bǎonuǎn nèiyī
4041,camping stove,野营炉,yěyínglú,野营炉 yěyínglú
4042,tent,帐篷,zhàngpéng,帐篷 zhàngpéng
4043,sleeping bag,睡袋,shuìdài,睡袋 shuìdài
4044,amplifier,功率放大器,gōnglǜ fàngdàqì,功率放大器 gōnglǜ fàngdàqì
4045,radio,收音机,shōuyīnjī,收音机 shōuyīnjī
4046,DVD player,播放机,DVD DVD bōfàngjī,播放机 DVD DVD bōfàngjī
4047,headphones,耳机,ěrjī,耳机 ěrjī
4048,record player,电唱机,diànchàngjī,电唱机 diànchàngjī
4049,mini disk recorder,录放机,MD MD lùfàngjī,录放机 MD MD lùfàngjī
4050,speaker stand,音箱架,yīnxiāngjià,音箱架 yīnxiāngjià
4051,DVD disk,光盘,DVD DVD guāngpán,光盘 DVD DVD guāngpán
4052,CD player,播放机,CD CD bōfàngjī,播放机 CD CD bōfàngjī
4053,personal CD player,便携式播放机,CD biànxiéshì CD bōfàngjī,便携式播放机 CD biànxiéshì CD bōfàngjī
4054,(loud) speaker,音箱,yīnxiāng,音箱 yīnxiāng
4055,eyecup,接目杯,jiēmùbēi,接目杯 jiēmùbēi
4056,controller,操纵手柄,cāozòng shǒubǐng,操纵手柄 cāozòng shǒubǐng
4057,satellite dish,卫星电视天线,wèixīng diànshì tiānxiàn,卫星电视天线 wèixīng diànshì tiānxiàn
4058,pay per view channel,收费频道,shōufèi píndào,收费频道 shōufèi píndào
4059,change channel (v),换频道,huàn píndào,换频道 huàn píndào
4060,on (v),开电视,kāidiànshì turn the television,开电视 kāidiànshì turn the television
4061,feature ﬁlm,故事片,gùshìpiàn,故事片 gùshìpiàn
4062,advertisement,广告,guǎnggào,广告 guǎnggào
4063,digital,数字式,shùzìshì,数字式 shùzìshì
4064,fast forward,快进,kuàijìn,快进 kuàijìn
4065,rewind,倒带,dǎodài,倒带 dǎodài
4066,video recorder,录像机,lùxiàngjī,录像机 lùxiàngjī
4067,widescreen television,宽屏电视,kuānpíng diànshì,宽屏电视 kuānpíng diànshì
4068,console,控制台,kòngzhìtái,控制台 kòngzhìtái
4069,stereo,立体声,lìtǐshēng,立体声 lìtǐshēng
4070,cable television,有线电视,yǒuxiàn diànshì,有线电视 yǒuxiàn diànshì
4071,stop,停止,tíngzhǐ,停止 tíngzhǐ
4072,compact disc,激光唱盘,jīguāng chàngpán,激光唱盘 jīguāng chàngpán
4073,cassette tape,盒式录音带,héshì lùyīndài,盒式录音带 héshì lùyīndài
4074,cassette player,盒式磁带录音机,héshì cídàilùyīnjī,盒式磁带录音机 héshì cídàilùyīnjī
4075,video tape,录像带,lùxiàngdài,录像带 lùxiàngdài
4076,pause,暂停,zàntíng,暂停 zàntíng
4077,watch television (v),看电视,kàndiànshì,看电视 kàndiànshì
4078,turn the television off (v),关电视,guāndiànshì,关电视 guāndiànshì
4079,tune the radio (v),调收音机,diàoshōuyīnjī,调收音机 diàoshōuyīnjī
4080,frame counter,曝光记数器,bàoguāngjì shùqì,曝光记数器 bàoguāngjì shùqì
4081,shutter release,快门键,kuàimén jiàn,快门键 kuàimén jiàn
4082,zoom lens,变焦镜头,biànjiāo jìngtóu,变焦镜头 biànjiāo jìngtóu
4083,lens caps,镜头盖,jìngtóugài,镜头盖 jìngtóugài
4084,disposable camera,一次性相机,yícìxìng xiàngjī,一次性相机 yícìxìng xiàngjī
4085,instant camera,立拍立现相机,lìpāi lìxiàn xiàngjī,立拍立现相机 lìpāi lìxiàn xiàngjī
4086,digital camera,数码相机,shùmǎ xiàngjī,数码相机 shùmǎ xiàngjī
4087,aperture dial,光圈调节环,guāngquān tiáojiéhuán,光圈调节环 guāngquān tiáojiéhuán
4088,shutter-speed dial,快门速度调节钮,kuàimén sùdù tiáojiéniǔ,快门速度调节钮 kuàimén sùdù tiáojiéniǔ
4089,lightmeter,曝光表,bàoguāngbiǎo,曝光表 bàoguāngbiǎo
4090,flash gun,闪光灯,shǎnguāngdēng,闪光灯 shǎnguāngdēng
4091,flash,闪光灯,shǎnguāngdēng,闪光灯 shǎnguāngdēng
4092,filter,滤镜,lǜjìng,滤镜 lǜjìng
4093,APS camera,一次成像全自动相机,yīcìchéngxiàng quánzìdòng xiàngjī,一次成像全自动相机 yīcìchéngxiàng quánzìdòng xiàngjī
4094,landscape,全景照,quánjǐngzhào,全景照 quánjǐngzhào
4095,film spool,胶卷,jiāojuǎn,胶卷 jiāojuǎn
4096,develop (v),冲洗,chōngxǐ,冲洗 chōngxǐ
4097,photo album,相册,xiàngcè,相册 xiàngcè
4098,underexposed,曝光不足,pùguāng bùzú,曝光不足 pùguāng bùzú
4099,red eye,红眼,hóngyǎn,红眼 hóngyǎn
4100,I’d like this ﬁlm processed,请冲洗这个胶卷,。 qǐng chōngxǐ zhège jiāojuǎn.,请冲洗这个胶卷 。 qǐng chōngxǐ zhège jiāojuǎn.
4101,viewﬁnder,取景器,qǔjǐngqì,取景器 qǔjǐngqì
4102,camera case,相机盒,xiàngjīhé,相机盒 xiàngjīhé
4103,exposure,曝光,pùguāng,曝光 pùguāng
4104,darkroom,暗室,ànshì,暗室 ànshì
4105,photo frame,相框,xiāngkuàng,相框 xiāngkuàng
4106,film,胶片,jiāopiān,胶片 jiāopiān
4107,negative,底片,dǐpiān,底片 dǐpiān
4108,overexposed,曝光过度,pùguāng guòdù,曝光过度 pùguāng guòdù
4109,portrait,人像照,rénxiàngzhào,人像照 rénxiàngzhào
4110,focus (v),调焦,tiáojiāo,调焦 tiáojiāo
4111,out of focus,调焦不准,tiáojiāo bùzhǔn,调焦不准 tiáojiāo bùzhǔn
4112,print,样片,yàngpiàn,样片 yàngpiàn
4113,enlargement,放大,fàngdà,放大 fàngdà
4114,rook,车,chē,车 chē
4115,monopoly,强手棋,qiángshǒuqí,强手棋 qiángshǒuqí
4116,dice,骰子,tóuzi,骰子 tóuzi
4117,draughts,国际跳棋,guójìtiàoqí,国际跳棋 guójìtiàoqí
4118,chess,国际象棋,guójìxiàngqí,国际象棋 guójìxiàngqí
4119,knight,马,mǎ,马 mǎ
4120,chessboard,棋盘,qípán,棋盘 qípán
4121,king,王,wáng,王 wáng
4122,bishop,象,xiàng,象 xiàng
4123,piece,棋子,qízǐ,棋子 qízǐ
4124,queen,后,hòu,后 hòu
4125,pawn,兵,bīng,兵 bīng
4126,Roll the dice.,掷骰子,。 zhìtóuzi.,掷骰子 。 zhìtóuzi.
4127,Whose turn is it?,该谁了,？ gāishuíle?,该谁了 ？ gāishuíle?
4128,It’s your move.,该你了,。 gāinǐle.,该你了 。 gāinǐle.
4129,point,点,diǎn,点 diǎn
4130,poker,扑克牌,pūkèpái,扑克牌 pūkèpái
4131,win (v),赢,yíng,赢 yíng
4132,winner,赢家,yíngjiā,赢家 yíngjiā
4133,lose (v),输,shū,输 shū
4134,dominoes,多米诺骨牌,duōmǐnuò gǔpái,多米诺骨牌 duōmǐnuò gǔpái
4135,joker,王牌,wángpái,王牌 wángpái
4136,club,梅花,méihuā,梅花 méihuā
4137,diamond,方块,fāngkuài,方块 fāngkuài
4138,pack of cards,一副牌,yīfùpái,一副牌 yīfùpái
4139,suit,同花,tonghuā,同花 tonghuā
4140,move,走棋,zǒuqí,走棋 zǒuqí
4141,play (v),玩,wán,玩 wán
4142,collecting,集邮,jíyóu I stamp,集邮 jíyóu I stamp
4143,loser,输家,shūjiā,输家 shūjiā
4144,indigo,靛青色,diànqīngsè,靛青色 diànqīngsè
4145,pink,粉红色,fěnhóngsè,粉红色 fěnhóngsè
4146,palette,调色板,tiáosèbǎn,调色板 tiáosèbǎn
4147,canvas,画布,huàbù,画布 huàbù
4148,poster paint,广告颜料,guǎnggào yánliào I,广告颜料 guǎnggào yánliào I
4149,pastels,彩色蜡笔,cǎisèlàbǐ,彩色蜡笔 cǎisèlàbǐ
4150,watercolour paint,水彩画颜料,shuǐcǎi huàyánliào,水彩画颜料 shuǐcǎi huàyánliào
4151,yellow,黄色,huángsè,黄色 huángsè
4152,oil paints,油画颜料,yóuhuà yánliào,油画颜料 yóuhuà yánliào
4153,artist,画家,huàjiā,画家 huàjiā
4154,acrylic paint,丙烯颜料,bǐngxī yánliào,丙烯颜料 bǐngxī yánliào
4155,paints,绿色,lǜsè I green,绿色 lǜsè I green
4156,cardboard,纸板,zhǐbǎn,纸板 zhǐbǎn
4157,potter’s wheel,陶工转盘,yáogōng zhuànpán,陶工转盘 yáogōng zhuànpán
4158,mallet,木槌,mùchuí,木槌 mùchuí
4159,origami,折纸,zhézhǐ,折纸 zhézhǐ
4160,jewellery making,珠宝制作,zhūbǎo zhìzuò,珠宝制作 zhūbǎo zhìzuò
4161,woodworking,木工,mùgōng,木工 mùgōng
4162,sketch pad,素描簿,sùmiáobù,素描簿 sùmiáobù
4163,modelling tool,刮刀,guādāo,刮刀 guādāo
4164,sketch,草图,cǎotú,草图 cǎotú
4165,papier-mâché,纸板制型,zhǐbǎnzhìxíng,纸板制型 zhǐbǎnzhìxíng
4166,sculpting,雕刻,diāokè,雕刻 diāokè
4167,ink,油墨,yóumò,油墨 yóumò
4168,glue,胶,jiāo,胶 jiāo
4169,model making,模型制作,móxíng zhìzuò,模型制作 móxíng zhìzuò
4170,pattern,纸样,zhǐyàng,纸样 zhǐyàng
4171,thimble,顶针,dǐngzhēn,顶针 dǐngzhēn
4172,tailor’s dummy,人体模型,réntǐ móxíng,人体模型 réntǐ móxíng
4173,material,布料,bùliào,布料 bùliào
4174,pincushion,针垫,zhēndiàn,针垫 zhēndiàn
4175,balance wheel,手轮,shǒulún,手轮 shǒulún
4176,needle plate,针板,zhēnbǎn,针板 zhēnbǎn
4177,thread guide,导线器,dǎoxiànqì,导线器 dǎoxiànqì
4178,tailor’s chalk,划粉,huáfěn,划粉 huáfěn
4179,thread,线,xiàn,线 xiàn
4180,stitch selector,针脚选择器,zhēnjiǎo xuǎnzéqì,针脚选择器 zhēnjiǎo xuǎnzéqì
4181,bobbin,线轴,xiànzhóu,线轴 xiànzhóu
4182,thread reel,绕线轴,ràoxiànzhóu,绕线轴 ràoxiànzhóu
4183,presser foot,压脚,yājiǎo,压脚 yājiǎo
4184,knitting needle,编织针,biānzhīzhēn,编织针 biānzhīzhēn
4185,lace-making,织边,zhībiān,织边 zhībiān
4186,loom,织布机,zhībùjī,织布机 zhībùjī
4187,needlepoint,绒绣,róngxiù,绒绣 róngxiù
4188,crochet,钩织,gōuzhī,钩织 gōuzhī
4189,patchwork,拼缝,pīnféng,拼缝 pīnféng
4190,sew (v),缝,féng,缝 féng
4191,stitch,针脚,zhēnjiǎo,针脚 zhēnjiǎo
4192,unpick (v),拆开,chāikāi,拆开 chāikāi
4193,fabric,布匹,bùpǐ,布匹 bùpǐ
4194,polyester,聚酯,jùzhǐ,聚酯 jùzhǐ
4195,wool,毛线,máoxiàn,毛线 máoxiàn
4196,quilting,绗缝,hángféng,绗缝 hángféng
4197,lace bobbin,线轴,xiànzhóu,线轴 xiànzhóu
4198,macramé,流苏花边,liúsū huābiān,流苏花边 liúsū huābiān
4199,darn (v),织补,zhībǔ,织补 zhībǔ
4200,nylon,尼龙,nílóng,尼龙 nílóng
4201,silk,丝绸,sīchóu,丝绸 sīchóu
4202,fashion,时尚,shíshàng,时尚 shíshàng
4203,zip,拉链,lāliàn,拉链 lāliàn
4204,embroidery,刺绣,cìxiù,刺绣 cìxiù
4205,thread (v),穿针,chuānzhēn,穿针 chuānzhēn
4206,weaving,纺织,fǎngzhī,纺织 fǎngzhī
4207,crochet hook,钩针,gōuzhēn,钩针 gōuzhēn
4208,environment,环境,huánjìng,环境 huánjìng
4209,Jupiter,木星,mùxīng,木星 mùxīng
4210,black hole,黑洞,hēidòng,黑洞 hēidòng
4211,planet,行星,xíngxīng,行星 xíngxīng
4212,meteor,流星,liúxīng,流星 liúxīng
4213,star,星,xīng,星 xīng
4214,universe,宇宙,yǔzhòu,宇宙 yǔzhòu
4215,orbit,轨道,guǐdào,轨道 guǐdào
4216,gravity,重力,zhònglì,重力 zhònglì
4217,asteroid,小行星,xiǎoxíngxīng,小行星 xiǎoxíngxīng
4218,Mars,火星,huǒxīng,火星 huǒxīng
4219,Neptune,海王星,hǎiwángxīng,海王星 hǎiwángxīng
4220,Venus,金星,jīnxīng,金星 jīnxīng
4221,Mercury,水星,shuǐxīng,水星 shuǐxīng
4222,Uranus,天王星,tiānwángxīng,天王星 tiānwángxīng
4223,nebula,星云,xīngyún,星云 xīngyún
4224,Saturn,土星,tǔxīng,土星 tǔxīng
4225,galaxy,星系,xīngxì,星系 xīngxì
4226,Pluto,冥王星,míngwángxīng,冥王星 míngwángxīng
4227,comet,彗星,huìxīng,彗星 huìxīng
4228,Earth,地球,dìqiú,地球 dìqiú
4229,full moon,满月,mǎnyuè,满月 mǎnyuè
4230,new moon,新月,xīnyuè,新月 xīnyuè
4231,crescent moon,弦月,xiányuè,弦月 xiányuè
4232,Sun,太阳,tàiyáng,太阳 tàiyáng
4233,Moon,月球,yuèqiú,月球 yuèqiú
4234,crew hatch,舱门,cāngmén,舱门 cāngmén
4235,telescope,天文望远镜,tiānwén wàngyuǎnjìng,天文望远镜 tiānwén wàngyuǎnjìng
4236,thruster,助推器,zhùtuīqì,助推器 zhùtuīqì
4237,space shuttle,航天飞机,hángtiān fēijī,航天飞机 hángtiān fēijī
4238,launch,发射,fāshè,发射 fāshè
4239,constellation,星座,xīngzuò,星座 xīngzuò
4240,satellite,人造卫星,rénzàowèixīng,人造卫星 rénzàowèixīng
4241,astronaut,宇航员,yǔhángyuán,宇航员 yǔhángyuán
4242,booster,推进器,tuījìnqì,推进器 tuījìnqì
4243,binoculars,双筒望远镜,shuāngtǒng wàngyuǎnjìng,双筒望远镜 shuāngtǒng wàngyuǎnjìng
4244,launch pad,发射架,fāshèjià,发射架 fāshèjià
4245,space station,空间站,kōngjiān zhàn,空间站 kōngjiān zhàn
4246,space suit,太空服,tàikōngfú,太空服 tàikōngfú
4247,continent,大陆,dàlù,大陆 dàlù
4248,mantle,地幔,dìmàn,地幔 dìmàn
4249,mountain range,山脉,shānmài,山脉 shānmài
4250,land,陆地,lùdì,陆地 lùdì
4251,outer core,外核,wàihé,外核 wàihé
4252,atmosphere,大气层,dàqìcéng,大气层 dàqìcéng
4253,island,岛屿,dǎoyǔ,岛屿 dǎoyǔ
4254,peninsula,半岛,bàndǎo,半岛 bàndǎo
4255,ocean,大洋,dàyáng,大洋 dàyáng
4256,inner core,内核,nèihé,内核 nèihé
4257,tropic of Capricorn,南回归线,nánhuíguīxiàn,南回归线 nánhuíguīxiàn
4258,southern hemisphere,南半球,nánbànqiú,南半球 nánbànqiú
4259,northern hemisphere,北半球,běibànqiú,北半球 běibànqiú
4260,tropics,热带,rèdài,热带 rèdài
4261,magma,岩浆,yánjiāng,岩浆 yánjiāng
4262,Arctic circle,北极圈,běijíquān,北极圈 běijíquān
4263,vent,火山道,huǒshāndào,火山道 huǒshāndào
4264,earthquake,地震,dìzhèn,地震 dìzhèn
4265,erupt (v),喷发,pēnfā,喷发 pēnfā
4266,vocabulary,震动,zhèndòng tremor,震动 zhèndòng tremor
4267,North pole,北极,běijí,北极 běijí
4268,ash,火山灰,huǒshānhuī,火山灰 huǒshānhuī
4269,latitude,纬线,wěixiàn,纬线 wěixiàn
4270,tropic of Cancer,北回归线,běihuíguīxiàn,北回归线 běihuíguīxiàn
4271,equator,赤道,chìdào,赤道 chìdào
4272,longitude,经线,jīngxiàn,经线 jīngxiàn
4273,lava,熔岩,róngyán,熔岩 róngyán
4274,hill,丘陵,qiūlíng,丘陵 qiūlíng
4275,bank,河岸,hé’àn,河岸 hé’àn
4276,gorge,峡谷,xiágǔ,峡谷 xiágǔ
4277,slope,山坡,shānpō,山坡 shānpō
4278,rocks,岩石,yánshí,岩石 yánshí
4279,cave,岩洞,yándòng,岩洞 yándòng
4280,mountain,山,shān,山 shān
4281,glacier,冰河,bīnghé,冰河 bīnghé
4282,river,河流,héliú,河流 héliú
4283,plateau,高原,gāoyuán,高原 gāoyuán
4284,coast,海岸,hǎi’àn,海岸 hǎi’àn
4285,grassland,草原,cǎoyuán,草原 cǎoyuán
4286,rainforest,雨林,yǔlín,雨林 yǔlín
4287,geyser,间歇喷泉,jiànxiē pēnquán,间歇喷泉 jiànxiē pēnquán
4288,meadow,草场,cǎochǎng,草场 cǎochǎng
4289,swamp,沼泽,zhǎozé,沼泽 zhǎozé
4290,estuary,河口,hékǒu,河口 hékǒu
4291,waterfall,瀑布,pùbù,瀑布 pùbù
4292,stream,溪流,xīliú,溪流 xīliú
4293,lake,湖,hú,湖 hú
4294,coral reef,珊瑚礁,shānhújiāo,珊瑚礁 shānhújiāo
4295,cliff,悬崖,xuányá,悬崖 xuányá
4296,sunny,阳光明媚,yángguāng míngmèi,阳光明媚 yángguāng míngmèi
4297,cloudy,多云,duōyún,多云 duōyún
4298,wet,潮,cháo,潮 cháo
4299,humid,湿润,shīrùn,湿润 shīrùn
4300,sleet,雨夹雪,yǔjiáxuě,雨夹雪 yǔjiáxuě
4301,hail,冰雹,bīngbáo,冰雹 bīngbáo
4302,thunder,雷,léi,雷 léi
4303,ultraviolet rays,紫外线,zǐwàixiàn,紫外线 zǐwàixiàn
4304,stratosphere,同温层,tóngwēncéng,同温层 tóngwēncéng
4305,exosphere,外逸层,wàiyìcéng,外逸层 wàiyìcéng
4306,ionosphere,电离层,diànlícéng,电离层 diànlícéng
4307,windy,多风,duōfēng,多风 duōfēng
4308,gale,狂风,kuángfēng,狂风 kuángfēng
4309,temperature,温度,wēndù,温度 wēndù
4310,hot,热,rè,热 rè
4311,warm,温暖,wēnnuǎn,温暖 wēnnuǎn
4312,ozone layer,臭氧层,chòuyǎngcéng,臭氧层 chòuyǎngcéng
4313,troposphere,对流层,duìliúcéng,对流层 duìliúcéng
4314,aurora,极光,jíguāng,极光 jíguāng
4315,mesosphere,中间层,zhōngjiāncéng,中间层 zhōngjiāncéng
4316,I’m hot/cold.,我热冷,/。 wǒ rè/lěng.,我热冷 /。 wǒ rè/lěng.
4317,It’s raining.,正在下雨,。 zhèngzài xiàyǔ.,正在下雨 。 zhèngzài xiàyǔ.
4318,It’s … degrees.,度,… dù…,度 … dù…
4319,thermosphere,热层,rècéng,热层 rècéng
4320,lightning,闪电,shǎndiàn,闪电 shǎndiàn
4321,tornado,龙卷风,lóngjuǎnfēng,龙卷风 lóngjuǎnfēng
4322,icicle,冰柱,bīngzhù,冰柱 bīngzhù
4323,ruby,红宝石,hóngbǎoshí,红宝石 hóngbǎoshí
4324,marble,大理石,dàlǐshí,大理石 dàlǐshí
4325,slate,板岩,bǎnyán,板岩 bǎnyán
4326,pumice,浮石,fúshí,浮石 fúshí
4327,conglomerate,砾岩,lìyán,砾岩 lìyán
4328,sandstone,砂岩,shāyán,砂岩 shāyán
4329,granite,花岗岩,huāgāngyán,花岗岩 huāgāngyán
4330,jet,黑玉,hēiyù,黑玉 hēiyù
4331,emerald,绿宝石,lǜbǎoshí,绿宝石 lǜbǎoshí
4332,amethyst,紫水晶,zǐshuǐjīng,紫水晶 zǐshuǐjīng
4333,moonstone,月长石,yuèzhǎngshí,月长石 yuèzhǎngshí
4334,topaz,黄玉,huángyù,黄玉 huángyù
4335,metamorphic,海蓝宝石,hǎilánbǎoshí aquamarine,海蓝宝石 hǎilánbǎoshí aquamarine
4336,schist,页岩,yèyán,页岩 yèyán
4337,flint,燧石,suìshí,燧石 suìshí
4338,limestone,石灰岩,shíhuīyán,石灰岩 shíhuīyán
4339,garnet,石榴石,shíliúshí,石榴石 shíliúshí
4340,jade,玉石,yùshí,玉石 yùshí
4341,igneous,电气石,diànqìshí tourmaline,电气石 diànqìshí tourmaline
4342,basalt,玄武岩,xuánwǔyán,玄武岩 xuánwǔyán
4343,obsidian,黑曜岩,hēiyàoyán,黑曜岩 hēiyàoyán
4344,opal,蛋白石,dànbáishí,蛋白石 dànbáishí
4345,coal,煤,méi,煤 méi
4346,sapphire,蓝宝石,lánbǎoshí,蓝宝石 lánbǎoshí
4347,gneiss,片麻岩,piànmáyán,片麻岩 piànmáyán
4348,hematite,赤铁矿,chìtiěkuàng,赤铁矿 chìtiěkuàng
4349,sulphur,硫磺,liúhuáng,硫磺 liúhuáng
4350,malachite,孔雀石,kǒngquèshí,孔雀石 kǒngquèshí
4351,onyx,缟玛瑙,gǎomǎnǎo,缟玛瑙 gǎomǎnǎo
4352,graphite,石墨,shímò,石墨 shímò
4353,platinum,铂,bó,铂 bó
4354,tin,锡,xī,锡 xī
4355,calcite,方解石,fāngjiěshí,方解石 fāngjiěshí
4356,turquoise,绿松石,lǜsōngshí,绿松石 lǜsōngshí
4357,aluminium,铝,lǚ,铝 lǚ
4358,quartz,石英,shíyīng,石英 shíyīng
4359,nickel,镍,niè,镍 niè
4360,zinc,锌,xīn,锌 xīn
4361,mica,云母,yúnmǔ,云母 yúnmǔ
4362,copper,铜,tóng,铜 tóng
4363,agate,玛瑙,mǎnǎo,玛瑙 mǎnǎo
4364,whiskers,腮须,sāixū,腮须 sāixū
4365,seal,海豹,hǎibào,海豹 hǎibào
4366,hedgehog,刺猥,cìwěi,刺猥 cìwěi
4367,walrus,海象,hǎixiàng,海象 hǎixiàng
4368,dog,狗,gǒu,狗 gǒu
4369,rat,老鼠,lǎoshǔ,老鼠 lǎoshǔ
4370,kitten,小猫,xiǎomāo,小猫 xiǎomāo
4371,otter,水獭,shuǐtǎ,水獭 shuǐtǎ
4372,puppy,小狗,xiǎogǒu,小狗 xiǎogǒu
4373,squirrel,松鼠,sōngshǔ,松鼠 sōngshǔ
4374,cat,猫,māo,猫 māo
4375,whale,鲸,jīng,鲸 jīng
4376,hamster,仓鼠,cāngshǔ,仓鼠 cāngshǔ
4377,sea lion,海狮,hǎishī,海狮 hǎishī
4378,dolphin,海豚,hǎitún,海豚 hǎitún
4379,wolf,狼,láng,狼 láng
4380,blowhole,喷水孔,pēnshuǐkǒng,喷水孔 pēnshuǐkǒng
4381,fox,狐狸,húli,狐狸 húli
4382,pup,小海豹,xiǎohǎibào,小海豹 xiǎohǎibào
4383,raccoon,浣熊,huànxióng,浣熊 huànxióng
4384,lion,狮子,shīzi,狮子 shīzi
4385,polar bear,北极熊,běijí xióng,北极熊 běijí xióng
4386,camel,骆驼,luòtuó,骆驼 luòtuó
4387,elephant,象,xiàng,象 xiàng
4388,bear,熊,xióng,熊 xióng
4389,trunk,象鼻,xiàngbí,象鼻 xiàngbí
4390,hump,驼峰,tuófēng,驼峰 tuófēng
4391,rhinoceros,犀牛,xīniú,犀牛 xīniú
4392,gorilla,大猩猩,dàxīngxing,大猩猩 dàxīngxing
4393,panda,熊猫,xióngmāo,熊猫 xióngmāo
4394,pouch,育儿袋,yù’érdài,育儿袋 yù’érdài
4395,antler,鹿角,lùjiǎo,鹿角 lùjiǎo
4396,kangaroo,袋鼠,dàishǔ,袋鼠 dàishǔ
4397,giraffe,长颈鹿,chángjǐnglù,长颈鹿 chángjǐnglù
4398,deer,鹿,lù,鹿 lù
4399,hippopotamus,河马,hémǎ,河马 hémǎ
4400,koala,树袋熊,shùdài xióng,树袋熊 shùdài xióng
4401,tusk,长牙,chángyá,长牙 chángyá
4402,zebra,斑马,bānmǎ,斑马 bānmǎ
4403,claw,爪,zhǎo,爪 zhǎo
